K,eps,method,recall_mean,recall_std,precision_mean,precision_std,f1_mean,f1_std,soft_error_mean,soft_error_std,n_found_mean,n_found_std,nfe_mean,nfe_std
2,1.0,v3f2,0.8,0.253546276418555,0.8,0.253546276418555,0.8,0.253546276418555,0.7534359786491099,0.3049714109720531,2.0,0.0,17158.0,1666.0269248381665
2,1.0,b0,0.7,0.3162277660168379,0.007157615752239864,0.008132213517813111,0.014021830596175533,0.015889269804182073,0.9589002440126916,0.21707775960201975,1815.8666666666666,166.76667475705034,2000000.0,0.0
2,1.0,b10,0.8,0.253546276418555,0.14041908639451214,0.2349054721394583,0.19006382256329304,0.28858508023316837,0.7074513554408007,0.17266335073724826,1267.6,474.3745958025758,2020000.0,0.0
2,1.5,v3f2,0.9,0.20701966780270623,0.9,0.20701966780270623,0.9,0.20701966780270623,0.7534359786491099,0.3049714109720531,2.0,0.0,17158.0,1666.0269248381665
2,1.5,b0,0.9,0.20701966780270625,0.09600657538116614,0.09404302254010993,0.16154167895149996,0.14742553621082008,0.9589002440126916,0.21707775960201975,1815.8666666666666,166.76667475705034,2000000.0,0.0
2,1.5,b10,1.0,0.0,0.3343311210347015,0.3406215846095536,0.4223471457577521,0.3362481548328713,0.7074513554408007,0.17266335073724826,1267.6,474.3745958025758,2020000.0,0.0
2,2.0,v3f2,1.0,0.0,1.0,0.0,1.0,0.0,0.7534359786491099,0.3049714109720531,2.0,0.0,17158.0,1666.0269248381665
2,2.0,b0,1.0,0.0,0.31280030034532597,0.23380618356391375,0.4354054948072127,0.2510874146114063,0.9589002440126916,0.21707775960201975,1815.8666666666666,166.76667475705034,2000000.0,0.0
2,2.0,b10,1.0,0.0,0.5559725420224292,0.3342605376879657,0.6537625061363398,0.3068474223546188,0.7074513554408007,0.17266335073724826,1267.6,474.3745958025758,2020000.0,0.0
2,2.5,v3f2,1.0,0.0,1.0,0.0,1.0,0.0,0.7534359786491099,0.3049714109720531,2.0,0.0,17158.0,1666.0269248381665
2,2.5,b0,1.0,0.0,0.5366248271966841,0.2618422815565412,0.6635590920490227,0.22261533707393735,0.9589002440126916,0.21707775960201975,1815.8666666666666,166.76667475705034,2000000.0,0.0
2,2.5,b10,1.0,0.0,0.7408154904844334,0.27058914903577447,0.8205838681723695,0.21185905560796492,0.7074513554408007,0.17266335073724826,1267.6,474.3745958025758,2020000.0,0.0
2,3.0,v3f2,1.0,0.0,1.0,0.0,1.0,0.0,0.7534359786491099,0.3049714109720531,2.0,0.0,17158.0,1666.0269248381665
2,3.0,b0,1.0,0.0,0.7146552938619198,0.2168273518400373,0.8155861623065255,0.15291527467370494,0.9589002440126916,0.21707775960201975,1815.8666666666666,166.76667475705034,2000000.0,0.0
2,3.0,b10,1.0,0.0,0.8664130960938433,0.18034242279380727,0.9177218153338901,0.11887308018195195,0.7074513554408007,0.17266335073724826,1267.6,474.3745958025758,2020000.0,0.0
3,1.0,v3f2,0.6,0.2581988897471611,0.6,0.2581988897471611,0.6,0.2581988897471611,0.9428231943191271,0.3813665253360161,3.0,0.0,18688.0,810.6188112441362
3,1.0,b0,0.5555555555555555,0.20573779994945587,0.001995325977165805,0.0012055135669815098,0.003973075777447435,0.002395496019029937,1.0370423916314455,0.15281819291697374,1951.1333333333334,29.710187446316095,2000000.0,0.0
3,1.0,b10,0.8222222222222223,0.2779364626109307,0.03175789398383036,0.020106008888220672,0.060603044967220174,0.037552143622426204,0.7470104680620914,0.16545420783041057,1596.8,142.2318027527097,2020000.0,0.0
3,1.5,v3f2,0.8,0.2760262237369417,0.8,0.2760262237369417,0.8,0.2760262237369417,0.9428231943191271,0.3813665253360161,3.0,0.0,18688.0,810.6188112441362
3,1.5,b0,0.9333333333333333,0.13801311186847084,0.03386667503581347,0.016132141372727837,0.065055283840783,0.030252439228160004,1.0370423916314455,0.15281819291697374,1951.1333333333334,29.710187446316095,2000000.0,0.0
3,1.5,b10,1.0,0.0,0.1759935420523161,0.06369003093671019,0.2946672074531316,0.0919145320622088,0.7470104680620914,0.16545420783041057,1596.8,142.2318027527097,2020000.0,0.0
3,2.0,v3f2,0.9333333333333333,0.13801311186847084,0.9333333333333333,0.13801311186847084,0.9333333333333333,0.13801311186847084,0.9428231943191271,0.3813665253360161,3.0,0.0,18688.0,810.6188112441362
3,2.0,b0,1.0,0.0,0.16829831780707769,0.06704682734723727,0.28278727958785027,0.09947383384522776,1.0370423916314455,0.15281819291697374,1951.1333333333334,29.710187446316095,2000000.0,0.0
3,2.0,b10,1.0,0.0,0.46799993621043773,0.14849738808811525,0.6245906408514252,0.1382554894495934,0.7470104680620914,0.16545420783041057,1596.8,142.2318027527097,2020000.0,0.0
3,2.5,v3f2,1.0,0.0,1.0,0.0,1.0,0.0,0.9428231943191271,0.3813665253360161,3.0,0.0,18688.0,810.6188112441362
3,2.5,b0,1.0,0.0,0.3971398510878385,0.12013978596353278,0.5584434966605464,0.12561125154226682,1.0370423916314455,0.15281819291697374,1951.1333333333334,29.710187446316095,2000000.0,0.0
3,2.5,b10,1.0,0.0,0.730464386349687,0.15215048383735622,0.835692592860897,0.10428037705350064,0.7470104680620914,0.16545420783041057,1596.8,142.2318027527097,2020000.0,0.0
3,3.0,v3f2,1.0,0.0,1.0,0.0,1.0,0.0,0.9428231943191271,0.3813665253360161,3.0,0.0,18688.0,810.6188112441362
3,3.0,b0,1.0,0.0,0.6367429145385903,0.13453013316971232,0.7702304061529812,0.10219767451673903,1.0370423916314455,0.15281819291697374,1951.1333333333334,29.710187446316095,2000000.0,0.0
3,3.0,b10,1.0,0.0,0.8806823983832721,0.09832720140004181,0.933790334755329,0.056692281032311165,0.7470104680620914,0.16545420783041057,1596.8,142.2318027527097,2020000.0,0.0
4,1.0,v3f2,0.36666666666666664,0.12909944487358055,0.3477777777777778,0.12565174009284466,0.3559259259259259,0.12601381931066305,1.1981226221545147,0.06885458293373484,4.266666666666667,0.5936168397046637,19208.0,840.3332672219993
4,1.0,b0,0.4,0.22756474745819985,0.0012822298536827323,0.0009423504532943658,0.002555115357903218,0.0018752458947352067,1.1644478211785532,0.11570054195548142,1979.9333333333334,17.93427152794603,2000000.0,0.0
4,1.0,b10,0.65,0.2464026901522906,0.01960383614775432,0.020104795378590442,0.03735729942714482,0.03761214429728722,0.9351431607683568,0.14514303307531132,1762.4,181.62787702961708,2020000.0,0.0
4,1.5,v3f2,0.75,0.0,0.7266666666666667,0.07527726527090811,0.7360573476702509,0.04400796106402583,1.1981226221545147,0.06885458293373484,4.266666666666667,0.5936168397046637,19208.0,840.3332672219993
4,1.5,b0,0.85,0.15811388300841897,0.020221647331512615,0.015045586694028347,0.03907708007775635,0.02862428613184776,1.1644478211785532,0.11570054195548142,1979.9333333333334,17.93427152794603,2000000.0,0.0
4,1.5,b10,0.9666666666666667,0.08796644381862459,0.14497925974474107,0.09950706208612488,0.24117446201860832,0.14623296290987764,0.9351431607683568,0.14514303307531132,1762.4,181.62787702961708,2020000.0,0.0
4,2.0,v3f2,0.9,0.12677313820927744,0.8822222222222222,0.13879679486411156,0.8899967416096448,0.13061759197410974,1.1981226221545147,0.06885458293373484,4.266666666666667,0.5936168397046637,19208.0,840.3332672219993
4,2.0,b0,0.9833333333333333,0.06454972243679027,0.12008641452435496,0.07742785638331842,0.20649544622459298,0.12108893923225966,1.1644478211785532,0.11570054195548142,1979.9333333333334,17.93427152794603,2000000.0,0.0
4,2.0,b10,1.0,0.0,0.4012513712249974,0.17596088034973226,0.5529521384206451,0.1691535091826477,0.9351431607683568,0.14514303307531132,1762.4,181.62787702961708,2020000.0,0.0
4,2.5,v3f2,1.0,0.0,0.9888888888888889,0.043033148291193514,0.993939393939394,0.023472626340651018,1.1981226221545147,0.06885458293373484,4.266666666666667,0.5936168397046637,19208.0,840.3332672219993
4,2.5,b0,1.0,0.0,0.3306646237425234,0.15211570499604943,0.4792764951056674,0.16641801211637863,1.1644478211785532,0.11570054195548142,1979.9333333333334,17.93427152794603,2000000.0,0.0
4,2.5,b10,1.0,0.0,0.6799335228945905,0.1513460321939366,0.8003536932470154,0.10880576154708461,0.9351431607683568,0.14514303307531132,1762.4,181.62787702961708,2020000.0,0.0
4,3.0,v3f2,1.0,0.0,0.9888888888888889,0.043033148291193514,0.993939393939394,0.023472626340651018,1.1981226221545147,0.06885458293373484,4.266666666666667,0.5936168397046637,19208.0,840.3332672219993
4,3.0,b0,1.0,0.0,0.576593937389564,0.16267853371353505,0.7191949736543715,0.12753055493250176,1.1644478211785532,0.11570054195548142,1979.9333333333334,17.93427152794603,2000000.0,0.0
4,3.0,b10,1.0,0.0,0.8705188840118774,0.08795062195610262,0.9285285990449992,0.05128014582404162,0.9351431607683568,0.14514303307531132,1762.4,181.62787702961708,2020000.0,0.0
5,1.0,v3f2,0.56,0.1549193338482967,0.5636507936507936,0.16788781662775074,0.5610445922641045,0.15985786418846792,1.4121463808193964,0.8610320773046003,5.133333333333334,0.6399404734221846,18972.0,1046.8537897638123
5,1.0,b0,0.3466666666666667,0.11872336794093273,0.003131789675103629,0.0016882076471460535,0.006187975422621604,0.0033126207350201815,1.180830453340491,0.09706176172104805,1933.7333333333333,45.01978401082074,2000000.0,0.0
5,1.0,b10,0.64,0.18822478962286407,0.07136092818854606,0.05586854446894967,0.12257592864257671,0.09037435599235677,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
5,1.5,v3f2,0.7200000000000001,0.16561573424216502,0.720952380952381,0.18586074810748723,0.719270694365034,0.17258266403811284,1.4121463808193964,0.8610320773046003,5.133333333333334,0.6399404734221846,18972.0,1046.8537897638123
5,1.5,b0,0.8533333333333334,0.11872336794093273,0.05208382067576808,0.026845459075884905,0.09699356154947879,0.04872897859457783,1.180830453340491,0.09706176172104805,1933.7333333333333,45.01978401082074,2000000.0,0.0
5,1.5,b10,0.92,0.10141851056742195,0.2291774312677222,0.1438517561425,0.3438436267341563,0.16565080531440518,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
5,2.0,v3f2,0.8800000000000001,0.10141851056742195,0.8898412698412699,0.10934422820558257,0.8839954933755474,0.10155564919100908,1.4121463808193964,0.8610320773046003,5.133333333333334,0.6399404734221846,18972.0,1046.8537897638123
5,2.0,b0,0.9466666666666667,0.09154754164341268,0.21870653873510246,0.10063649468657355,0.34198449045943374,0.13473557820452722,1.180830453340491,0.09706176172104805,1933.7333333333333,45.01978401082074,2000000.0,0.0
5,2.0,b10,0.9866666666666667,0.05163977794943223,0.43297546797879927,0.16490586492847198,0.5866218360752954,0.14547040941915237,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
5,2.5,v3f2,0.8800000000000001,0.10141851056742195,0.8898412698412699,0.10934422820558257,0.8839954933755474,0.10155564919100908,1.4121463808193964,0.8610320773046003,5.133333333333334,0.6399404734221846,18972.0,1046.8537897638123
5,2.5,b0,0.9866666666666667,0.051639777949432225,0.4393871894073078,0.1526016922228585,0.5933533168079637,0.14727707415527014,1.180830453340491,0.09706176172104805,1933.7333333333333,45.01978401082074,2000000.0,0.0
5,2.5,b10,1.0,0.0,0.6583494937969718,0.12877213748336344,0.7875481536203562,0.08891438579899452,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
5,3.0,v3f2,0.92,0.10141851056742195,0.9276190476190477,0.10791783218449746,0.9229070580013977,0.1011927484581882,1.4121463808193964,0.8610320773046003,5.133333333333334,0.6399404734221846,18972.0,1046.8537897638123
5,3.0,b0,1.0,0.0,0.637274271787473,0.13258962068414093,0.77125466677691,0.09563723283382149,1.180830453340491,0.09706176172104805,1933.7333333333333,45.01978401082074,2000000.0,0.0
5,3.0,b10,1.0,0.0,0.8399211675114809,0.07311336473359621,0.9114069179083221,0.04289691644081265,0.9062450181930427,0.1141586287584326,1495.2,279.83929061414625,2020000.0,0.0
6,1.0,v3f2,0.5666666666666667,0.1380131118684709,0.5301587301587302,0.16078460710622183,0.5462759462759462,0.14905330298435152,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,1.0,b0,0.3888888888888889,0.16265001215808886,0.0033561275383654386,0.0023570676663008552,0.006639986744976058,0.004648823577865296,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,1.0,b10,0.6888888888888889,0.15257923607235452,0.08453314223752215,0.0668577789426826,0.14089036553037773,0.10337512232743017,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,1.5,v3f2,0.7,0.12909944487358055,0.6642857142857144,0.1757688234593711,0.6796766451938866,0.15395097871414926,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,1.5,b0,0.8,0.1568539913523867,0.05690614943411633,0.03434341905455981,0.10437353374786353,0.06094973047353046,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,1.5,b10,0.8666666666666667,0.12909944487358055,0.2471776591123439,0.1208756783748279,0.3694511549888432,0.15215292273167502,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,2.0,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,2.0,b0,0.9,0.10540925533894593,0.23437820811570972,0.12080652112871881,0.35995841370733384,0.16306887479899243,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,2.0,b10,0.9888888888888889,0.043033148291193514,0.4388448738293518,0.133283773819698,0.595392514063162,0.1343305128421024,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,2.5,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,2.5,b0,1.0,0.0,0.45619983485545423,0.17016994230471907,0.6079552248670909,0.17098493582430926,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,2.5,b10,1.0,0.0,0.6731621949124204,0.13911859424130069,0.796325541615299,0.1075497076748499,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
6,3.0,v3f2,0.8333333333333334,0.10910894511799617,0.7845238095238095,0.16830162601051793,0.8057885776195636,0.1401687033756103,1.3186942231375944,0.35528136645216846,6.6,0.828078671210825,18971.333333333332,943.9042526099968
6,3.0,b0,1.0,0.0,0.6544789078602442,0.15284026318874927,0.7807617523693491,0.12080627433093191,1.2101793932203466,0.16649838013225843,1922.0,65.3266517477471,2000000.0,0.0
6,3.0,b10,1.0,0.0,0.8546135069576928,0.09535405696269907,0.918773576869403,0.05910378135234037,0.9082283202198987,0.18492232615538554,1468.8,316.0416337853515,2020000.0,0.0
7,1.0,v3f2,0.3428571428571428,0.15079961797478503,0.3361111111111111,0.15120297411161104,0.3388461538461538,0.15029100812914598,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,1.0,b0,0.3333333333333333,0.2067848184159274,0.005311363693888302,0.00448787671059576,0.0103834331593758,0.008722599238266538,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,1.0,b10,0.5904761904761905,0.15144268962551707,0.10653331866899138,0.1080025332717552,0.16581503044013302,0.1582604079706111,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,1.5,v3f2,0.6,0.11065666703449764,0.6031746031746031,0.13030659152987745,0.6005380060552474,0.11714963387049743,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,1.5,b0,0.7428571428571428,0.15461793408061889,0.07826922881180454,0.06157927501712202,0.1361486068729321,0.10289542792224142,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,1.5,b10,0.9238095238095239,0.09142006763174065,0.2692183907517263,0.15596280140782576,0.39946291761079217,0.19416219305610674,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,2.0,v3f2,0.7714285714285715,0.11829695303011788,0.776984126984127,0.12996042564604035,0.7730713730713731,0.12095817550885732,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,2.0,b0,0.9619047619047619,0.06539110117386623,0.27906790453087577,0.1742087057496993,0.4076457633359586,0.22028594161303788,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,2.0,b10,0.9714285714285714,0.059148476515058945,0.5384305383435034,0.1420833022745104,0.6811806948819199,0.13695002924555408,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,2.5,v3f2,0.9047619047619048,0.11664236870396087,0.9091269841269842,0.12802990224434557,0.9058363858363858,0.11944212431453807,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,2.5,b0,0.9904761904761905,0.036885555678165885,0.5107717684195654,0.20847224474117604,0.6486186236882931,0.20173914147791155,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,2.5,b10,0.9904761904761905,0.036885555678165885,0.7524102170749757,0.12593086358769268,0.8482860212023045,0.0887084947092993,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
7,3.0,v3f2,0.9333333333333333,0.07377111135633177,0.9380952380952381,0.09589484441625161,0.9345054945054945,0.07960431412079845,1.7224403378140278,0.7527497529265177,7.2,0.6761234037828134,18987.333333333332,1267.1760880379798
7,3.0,b0,1.0,0.0,0.7056981106335978,0.17026111690128465,0.8151713708886485,0.1322513671844142,1.2448218283174246,0.13876913103859423,1893.4666666666667,94.78386440940757,2000000.0,0.0
7,3.0,b10,1.0,0.0,0.8841742246695986,0.0775841506234827,0.936755767334279,0.046102685754092876,0.941688050577341,0.18916823400276775,1384.6,397.7110939937611,2020000.0,0.0
