run_name,modes_path,checkpoint,method,r_value,seed,n_samples,selection_flag,k_neighbors,purity_threshold,max_unassigned_fraction,retained_candidates,radius,all_cells_any_candidate_pct,labeled_cells_any_candidate_pct,labeled_cells_label_consistent_pct
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.5,0.17719882186729247,0.34007364184618394,0.3315106364759563
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,0.8,3.5499628840305544,6.677920902296108,6.38800200618983
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,1.0,11.101865376786954,20.27475014373616,19.5126426657859
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,1.5,44.15243887837935,68.88203848459271,66.61161877500092
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,all_raw,100,0.9,0.2,604,2.0,73.32678815162473,92.5673113386424,90.14765067831235
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.5,0.144872009769881,0.28502575018043474,0.2825791772175126
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,0.8,2.9585019515816193,5.70540814953454,5.6271178147210295
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,1.0,9.313713752065324,17.571287019707146,17.24344624267557
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,1.5,35.53375158640837,60.40466316806733,58.44006507884081
labeled_b0_n1000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed0.npy,labeled,b0,1.5,0,1000.0,confident_without_distance,100,0.9,0.2,319,2.0,56.89339335743876,84.00063610897035,81.13692245586994
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.5,0.1616340604870573,0.31316133925403994,0.30582162036527333
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,0.8,3.2219056057086757,6.113985834342545,5.864435392124482
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,1.0,10.482866789588371,19.20926761838355,18.408014973026532
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,1.5,43.935130863724524,69.47410914161988,67.12539909721458
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,all_raw,100,0.9,0.2,613,2.0,73.50937477550825,93.23644904400162,90.65653785460017
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.5,0.12511673571035176,0.25444358814390744,0.25444358814390744
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,0.8,2.6466080793084457,5.170831957136042,5.1426963680624365
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,1.0,8.90843131151074,16.77125766083159,16.43363059194833
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,1.5,35.93364622494672,61.471368979901406,59.29147246993773
labeled_b0_n1000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed1.npy,labeled,b0,1.5,1,1000.0,confident_without_distance,100,0.9,0.2,319,2.0,57.84044922295922,85.3731635411697,81.34121129827395
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.5,0.199348674600704,0.3877818146231666,0.3816653822158611
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,0.8,3.0931970019875004,5.913366851382925,5.691951998238467
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,1.0,10.19372141471708,18.838611814500837,18.25755073580682
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,1.5,43.61844783410359,68.919960365518,66.97860471943925
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,all_raw,100,0.9,0.2,599,2.0,72.6640885036278,92.67985369493682,90.66265428700747
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,0.5,0.1712123751825866,0.3364037824018007,0.3351804959203396
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,0.8,2.602308373841623,5.074192325100616,5.026484152323633
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,1.0,8.595938794569095,16.330874527505596,16.062974788065617
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,1.5,34.937501496611674,59.93247458622335,57.926284756627155
labeled_b0_n1000_R1.5_seed2,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed2.npy,labeled,b0,1.5,2,1000.0,confident_without_distance,100,0.9,0.2,318,2.0,57.0634084432844,84.67711353321835,80.56442438254615
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,0.25,0.0,0.0,0.0
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,0.5,0.15385167979693973,0.30337504740235116,0.2984819014765068
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,0.8,3.1817964129211465,6.0467050778621845,5.8460860949025655
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,1.0,10.52237733770743,19.26553879653076,18.51688746987657
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,1.5,44.354182131653936,69.61111722754352,67.11683609184435
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,all_raw,100,0.9,0.2,622,2.0,74.27444266181365,93.29516679511175,90.34826966127197
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,0.25,0.0,0.0,0.0
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,0.5,0.13589233974282225,0.27279288536582386,0.27279288536582386
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,0.8,2.7016833888077394,5.2491222919495515,5.225879848801791
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,1.0,8.824621057924858,16.690520753055157,16.425067586578102
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,1.5,34.941093364622496,60.11229769899813,58.32385286310201
labeled_b0_n1000_R1.5_seed3,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed3.npy,labeled,b0,1.5,3,1000.0,confident_without_distance,100,0.9,0.2,308,2.0,56.37017791719548,84.23673039989235,80.7075489008771
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,0.5,0.14547065443835158,0.2825791772175126,0.2813558907360515
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,0.8,3.274586336534087,6.302371952487553,6.191052882674594
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,1.0,10.638514403390724,19.587263141155027,18.981736332831787
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,1.5,44.95342544479299,69.74812531346716,66.54433801852055
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,all_raw,100,0.9,0.2,615,2.0,73.12324896434473,92.69697970567728,89.20694337406877
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,0.25,0.0005986446684705827,0.0012232864814610935,0.0012232864814610935
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,0.5,0.1412801417590575,0.275239458328746,0.275239458328746
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,0.8,3.027346088455736,5.9170367108273085,5.876668256939093
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,1.0,9.446612868465794,17.904020942664562,17.6324513437802
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,1.5,35.5780512918752,60.78877512324611,58.767905855872385
labeled_b0_n1000_R1.5_seed4,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b0_n1000_R1.5_seed4.npy,labeled,b0,1.5,4,1000.0,confident_without_distance,100,0.9,0.2,342,2.0,57.02629247383923,84.49117398803627,80.58644353921245
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,0.25,0.0,0.0,0.0
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,0.5,0.03472139077129379,0.07095061592474342,0.07095061592474342
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,0.8,2.0168338880773926,3.890051011046277,3.8521291301209826
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,1.0,9.096405737410503,16.77003437435013,16.440970310837095
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,1.5,49.401355331529416,75.86455772077262,73.71524337284548
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,all_raw,100,0.9,0.2,1988,2.0,79.44792988673642,95.94725188691939,93.94962506269343
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,0.25,0.0,0.0,0.0
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,0.5,0.03232681209741146,0.06605746999889904,0.06605746999889904
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,0.8,1.8150906348028066,3.5658800934590875,3.558540374570321
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,1.0,7.796748162160867,14.889843052344428,14.777300696050007
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,1.5,37.833744402672345,64.67148641540362,62.89527444432211
labeled_b10_n5000_R1.5_seed0,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed0.npy,labeled,b10,1.5,0,5000.0,confident_without_distance,100,0.9,0.2,737,2.0,57.9589808673164,85.19211714191346,81.81217659363647
labeled_b10_n5000_R1.5_seed1,results_levine13/additional_complete_fixed_checkpoint/baseline_seeds/modes_labeled_b10_n5000_R1.5_seed1.npy,labeled,b10,1.5,1,5000.0,all_raw,100,0.9,0.2,1992,0.25,0.0,0.0,0.0
