checkpoint,method,r_value,all_modes,confident_modes,covered_populations,mean_purity_labeled_conf,mean_unassigned_conf,mean_knn_dist_conf,nfe,elapsed_sec
all,v2,0.5,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,34.47380805015564
all,v2,0.8,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,32.0452299118042
all,v2,1.0,30,14,6,1.0,0.0492857142857142,1.0206923023086047,33560,31.75273394584656
all,v2,1.2,29,14,6,0.9962406015037594,0.0528571428571428,1.023650347836167,33560,31.745222091674805
all,v2,1.5,29,14,6,0.9962406015037594,0.0528571428571428,1.023650347836167,33560,33.40080690383911
all,v2,2.0,23,9,6,0.9941520467836258,0.0377777777777778,0.9630895701725328,33560,33.14823508262634
all,v3f1,0.5,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.78078007698059
all,v3f1,0.8,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.944448947906498
all,v3f1,1.0,30,14,6,1.0,0.0464285714285714,1.0169524778218972,26860,24.91494727134705
all,v3f1,1.2,29,14,6,0.9962406015037594,0.05,1.0197557858981383,26860,25.11434864997864
all,v3f1,1.5,29,14,6,0.9962406015037594,0.05,1.0197557858981383,26860,29.82689094543457
all,v3f1,2.0,22,9,6,0.9941520467836258,0.0377777777777778,0.961277501334495,26860,33.417141914367676
all,v3f2,0.5,267,105,9,0.9931489554422336,0.0806666666666666,0.937355354339278,94580,147.50193095207214
all,v3f2,0.8,229,85,8,0.9933787146306488,0.0811764705882353,0.9758344207856208,86740,143.30287981033325
all,v3f2,1.0,176,57,7,0.9958056186447668,0.0833333333333333,1.018220337562386,77220,128.5350480079651
all,v3f2,1.2,142,45,8,0.9972573963644744,0.0895555555555555,1.0390514262477957,67240,98.5504801273346
all,v3f2,1.5,86,23,7,0.99635268294961,0.0856521739130434,1.0777717707330965,53320,79.54844093322754
all,v3f2,2.0,46,11,6,0.9922565033272835,0.0963636363636363,1.1335221522985774,38680,50.727684020996094
all,v3f3,0.5,297,89,9,0.9909931931949758,0.0853932584269663,1.0443333625961992,61620,93.2577691078186
all,v3f3,0.8,291,85,9,0.991769898641142,0.0848235294117647,1.047583310949165,61620,100.77875208854675
all,v3f3,1.0,284,80,9,0.9915106193470298,0.08575,1.0635548642853423,61620,107.18787574768066
all,v3f3,1.2,263,71,9,0.9908516984206288,0.0866197183098591,1.0760196484392806,61620,94.15850806236269
all,v3f3,1.5,231,58,9,0.9903147912981384,0.0886206896551724,1.0852023384387592,61620,95.09234404563904
all,v3f3,2.0,169,41,9,0.9912898082389888,0.093170731707317,1.088192617266806,61620,96.74406099319458
labeled,v2,0.5,30,22,8,0.9952721696907744,0.0640909090909091,1.0035762409900877,32410,53.94283699989319
labeled,v2,0.8,30,22,8,0.9952721696907744,0.0640909090909091,1.0035762409900877,32410,56.95993089675903
labeled,v2,1.0,29,21,8,0.9950470349141446,0.0661904761904762,0.9970014806732436,32410,56.82523274421692
labeled,v2,1.2,29,21,8,0.9950470349141446,0.0661904761904762,0.9970014806732436,32410,53.44743227958679
labeled,v2,1.5,28,20,8,0.9947993866598518,0.0655,0.99660285924238,32410,56.307446002960205
labeled,v2,2.0,20,13,8,0.992844364937388,0.0569230769230769,1.0206742268077618,32410,56.288649797439575
labeled,v3f1,0.5,30,22,8,0.9953262005360956,0.0622727272727272,1.0017344660340688,26640,42.13402223587036
labeled,v3f1,0.8,30,22,8,0.9953262005360956,0.0622727272727272,1.0017344660340688,26640,44.779430866241455
labeled,v3f1,1.0,29,21,8,0.995103638656862,0.0647619047619047,0.9953060127583206,26640,47.3800311088562
labeled,v3f1,1.2,29,21,8,0.995103638656862,0.0647619047619047,0.9953060127583206,26640,44.08253622055054
labeled,v3f1,1.5,28,20,8,0.9948588205897052,0.064,0.9945389890977197,26640,42.220191955566406
labeled,v3f1,2.0,20,13,8,0.9929266136162688,0.0553846153846154,1.0184129989458488,26640,45.89260697364807
labeled,v3f2,0.5,226,160,11,0.9946646885105672,0.06475,0.9551732925716168,87160,116.93662714958192
labeled,v3f2,0.8,168,118,11,0.9925632263796692,0.0738983050847457,1.0011584608979314,73380,94.99001717567444
labeled,v3f2,1.0,119,75,10,0.9931888433854053,0.0765333333333333,1.0516653930002569,61820,74.54692506790161
labeled,v3f2,1.2,91,52,10,0.9926712864309848,0.0878846153846154,1.1029371485763655,52900,64.36124300956726
labeled,v3f2,1.5,59,35,10,0.9946265593455332,0.0814285714285714,1.08085945958411,42660,41.10745096206665
labeled,v3f2,2.0,27,14,7,0.995974491861429,0.0878571428571428,1.1251723403107772,32600,26.828907012939453
labeled,v3f3,0.5,292,168,10,0.9894689878505368,0.0911309523809524,1.1290862543329063,61620,88.6207160949707
labeled,v3f3,0.8,278,156,10,0.989979215025109,0.0939102564102564,1.1585043229588774,61620,88.9892430305481
labeled,v3f3,1.0,272,151,10,0.9898751559397614,0.0949006622516556,1.1689351314300405,61620,93.8708872795105
labeled,v3f3,1.2,255,138,10,0.9896297273064428,0.095,1.1866421816690902,61620,104.85924983024596
labeled,v3f3,1.5,208,110,10,0.9896095423220144,0.0949090909090909,1.217987521518997,61620,100.75333404541016
labeled,v3f3,2.0,139,70,10,0.9888930242959768,0.0894285714285714,1.1896836352021476,61620,108.32071089744568
all,b0,0.5,999,295,9,0.9893136525885652,0.0787457627118644,1.1142842932914845,1000000,2.717000961303711
all,b0,0.8,987,287,9,0.9893245008420372,0.0796864111498257,1.12480410332438,1000000,2.786773920059204
all,b0,1.0,938,259,9,0.9898171174908482,0.081081081081081,1.1475777324998166,1000000,2.5886991024017334
all,b0,1.2,876,224,9,0.9895680131369478,0.0829910714285714,1.169959155812854,1000000,3.732319831848145
all,b0,1.5,741,177,9,0.9895070181938804,0.0873446327683615,1.1777868860873046,1000000,2.8322150707244873
all,b0,2.0,517,114,9,0.9910482566390496,0.0784210526315789,1.1639067340487264,1000000,2.422375202178955
all,b0,2.5,336,73,8,0.990893875087931,0.0761643835616438,1.1557085325218062,1000000,1.0930781364440918
all,b0,3.0,217,50,9,0.9916683663021176,0.075,1.0920221147552531,1000000,0.7270441055297852
all,b10,0.5,999,295,9,0.9893136525885652,0.0787457627118644,1.1142842932914845,1000000,2.393008232116699
all,b10,0.8,987,287,9,0.9893245008420372,0.0796864111498257,1.12480410332438,1000000,2.3290069103240967
all,b10,1.0,938,259,9,0.9898171174908482,0.081081081081081,1.1475777324998166,1000000,2.423508882522583
all,b10,1.2,876,224,9,0.9895680131369478,0.0829910714285714,1.169959155812854,1000000,2.1496691703796387
all,b10,1.5,741,177,9,0.9895070181938804,0.0873446327683615,1.1777868860873046,1000000,1.853828191757202
all,b10,2.0,517,114,9,0.9910482566390496,0.0784210526315789,1.1639067340487264,1000000,1.3772478103637695
all,b10,2.5,336,73,8,0.990893875087931,0.0761643835616438,1.1557085325218062,1000000,1.1439998149871826
all,b10,3.0,217,50,9,0.9916683663021176,0.075,1.0920221147552531,1000000,0.9349808692932128
labeled,b0,0.5,996,588,11,0.9895779476774752,0.0782993197278911,1.1165099189334626,1000000,2.581699848175049
labeled,b0,0.8,953,553,11,0.989370091459944,0.0796202531645569,1.135010087511764,1000000,2.1803040504455566
labeled,b0,1.0,867,491,11,0.9894850816092864,0.0806924643584521,1.1589524691116944,1000000,1.831814765930176
labeled,b0,1.2,772,428,11,0.9890466015650388,0.0821495327102803,1.1749518414379598,1000000,1.7573730945587158
labeled,b0,1.5,604,319,11,0.989572989853719,0.0812225705329153,1.1840902534724362,1000000,1.4518520832061768
labeled,b0,2.0,377,196,11,0.9909361285668415,0.0771938775510204,1.179780034371759,1000000,1.1200230121612549
labeled,b0,2.5,231,118,10,0.991167466928618,0.0756779661016949,1.1651941563778474,1000000,0.6878550052642822
labeled,b0,3.0,134,69,10,0.9914642189944878,0.0685507246376811,1.091833951337371,1000000,0.489588975906372
labeled,b10,0.5,996,588,11,0.9895779476774752,0.0782993197278911,1.1165099189334626,1000000,2.2765800952911377
labeled,b10,0.8,953,553,11,0.989370091459944,0.0796202531645569,1.135010087511764,1000000,1.9968020915985107
labeled,b10,1.0,867,491,11,0.9894850816092864,0.0806924643584521,1.1589524691116944,1000000,1.8528590202331543
labeled,b10,1.2,772,428,11,0.9890466015650388,0.0821495327102803,1.1749518414379598,1000000,1.6776061058044434
labeled,b10,1.5,604,319,11,0.989572989853719,0.0812225705329153,1.1840902534724362,1000000,1.353892803192139
labeled,b10,2.0,377,196,11,0.9909361285668415,0.0771938775510204,1.179780034371759,1000000,1.0677838325500488
labeled,b10,2.5,231,118,10,0.991167466928618,0.0756779661016949,1.1651941563778474,1000000,0.6792449951171875
labeled,b10,3.0,134,69,10,0.9914642189944878,0.0685507246376811,1.091833951337371,1000000,0.481990098953247
